participant_id,avg_safety_distance,height,age,d_l,d_m,d_h,distance_category,velocity_exp1,velocity_exp2
XXX_43,48.78302001953125,157,25,-12.202150344848633,17.071533203125,-32.35096740722656,odd,60,70
XXX_40,91.59320831298828,161,26,-19.91800022125244,-34.86328315734863,-39.40206718444824,odd,60,70
XXX_39,62.06298828125,190,26,-23.496699810028076,-9.490966796875,-33.91754913330078,odd,60,70
XXX_36,64.24778874715169,187,27,3.117067337036133,3.1915321350097656,2.5132179260253906,pair,60,70
XXX_34,35.94301732381185,173,29,9.144283294677734,55.509849548339844,16.966346740722656,pair,60,70
XXX_24,63.60697682698568,176,32,0.6167507171630859,1.4912986755371094,-8.354484558105469,odd,60,70
XXX_38,54.709571838378906,180,62,-10.234366416931152,-17.161649703979492,-17.514450073242188,pair,60,60
XXX_35,58.539328257242836,178,27,-15.622666358947754,9.827682495117188,-32.46693420410156,odd,60,60
XXX_32,66.78288141886394,173,31,-9.554849624633789,9.831134796142578,35.13041687011719,pair,60,60
XXX_28,59.88253657023112,170,29,-5.571283340454102,28.034866333007812,32.84465026855469,pair,60,60
XXX_42,42.640313466389976,169,21,-7.660905838012695,-9.57177734375,-45.45940589904785,pair,70,70
XXX_37,61.600110371907554,185,26,-16.223689079284668,-24.94289779663086,-27.51036834716797,odd,70,70
XXX_25,50.03453063964844,166,51,4.939235687255859,2.5714569091796875,-8.36795425415039,odd,70,70
XXX_41,43.48152542114258,171,24,10.491073608398438,18.4744873046875,NULL,odd,70,60
XXX_33,46.81719080607096,176,48,-5.1917724609375,10.703140258789062,12.968894958496094,pair,70,60
XXX_31,75.08603159586589,175,27,-10.422560691833496,4.47869873046875,-20.969886779785156,pair,70,60
XXX_30,59.2869758605957,167,60,-11.961841583251953,8.975460052490234,11.175628662109375,pair,70,60
XXX_27,56.59797286987305,178,26,-5.763205528259277,-9.156988143920898,12.403976440429688,pair,70,60
XXX_26,34.875179290771484,179,34,-1.7126750946044922,17.551239013671875,11.729873657226562,pair,70,60
