participant_id,avg_safety_distance,height,age,d_l,d_m,d_h,distance_category,velocity_exp1,velocity_exp2
XXX_43,36.60128402709961,157,25,-8.884544372558594,-19.72028923034668,-20.602214813232422,odd,20,30
XXX_40,69.71310679117839,161,26,-22.450972080230713,-29.800416946411133,-42.49281120300293,odd,20,30
XXX_39,50.972948710123696,190,26,-14.522333145141602,-14.029273986816406,-27.452392578125,odd,20,30
XXX_36,50.24738311767578,187,27,0.033771514892578125,-15.980121612548828,-14.579666137695312,pair,20,30
XXX_34,27.425976435343426,173,29,11.841022491455078,-3.3388938903808594,-12.536945343017578,pair,20,30
XXX_24,41.263075510660805,176,32,5.661994934082031,-15.655517578125,-8.368228912353516,odd,20,30
XXX_38,34.73824691772461,180,62,-9.556377410888672,-19.09952735900879,-37.0036506652832,pair,20,20
XXX_35,22.23449198404948,178,27,-5.71546745300293,-17.901439666748047,-24.222278594970703,odd,20,20
XXX_32,62.242296854654946,173,31,-1.9085006713867188,-2.577648162841797,-4.956462860107422,pair,20,20
XXX_28,28.742809931437176,170,29,2.7715396881103516,0.9105110168457031,-6.0622100830078125,pair,20,20
XXX_42,20.457059860229492,169,21,0.6858329772949219,-19.983516693115234,-38.40423393249512,pair,30,30
XXX_37,41.24170049031576,185,26,-4.557500839233398,-19.80335807800293,-22.435306549072266,odd,30,30
XXX_25,48.400296688079834,166,51,13.550617218017578,-6.892650604248047,-5.617057800292969,odd,30,30
XXX_41,31.645076115926106,171,24,6.820217132568359,3.253173828125,-16.17208480834961,odd,30,20
XXX_33,34.381876627604164,176,48,-2.7936840057373047,-11.900941848754883,-7.268806457519531,pair,30,20
XXX_31,45.81382624308268,175,27,-0.5633583068847656,-17.890274047851562,-26.721858978271484,pair,30,20
XXX_30,34.39979807535807,167,60,-12.1295166015625,-1.1791000366210938,-16.13988494873047,pair,30,20
XXX_27,33.14151191711426,178,26,0.9856662750244141,-10.457208633422852,-13.060909271240234,pair,30,20
XXX_26,24.511594772338867,179,34,5.657140731811523,-5.544124603271484,11.487937927246094,pair,30,20
