participant_id,avg_safety_distance,height,age,d_l,d_m,d_h,distance_category,velocity_exp1,velocity_exp2
XXX_43,51.89203770955404,157,25,-17.608339309692383,-26.31056022644043,-35.9101676940918,odd,20,30
XXX_40,85.95950698852539,161,26,-20.610755920410156,-35.903255462646484,-53.6700439453125,odd,20,30
XXX_39,54.94831466674805,190,26,-15.065378189086914,-10.613933563232422,-25.60947036743164,odd,20,30
XXX_36,46.910082499186196,187,27,1.4080772399902344,-8.089805603027344,-16.677501678466797,pair,20,30
XXX_34,23.42322603861491,173,29,0.9181003570556641,-7.955356597900391,-5.4633941650390625,pair,20,30
XXX_24,50.60728963216146,176,32,-5.48353385925293,-11.214534759521484,-29.427051544189453,odd,20,30
XXX_38,36.66514587402344,180,62,-9.994216918945312,-18.807239532470703,-35.843645095825195,pair,20,20
XXX_35,32.134077072143555,178,27,2.9620399475097656,-26.31683349609375,-39.47971153259277,odd,20,20
XXX_32,64.70429611206055,173,31,-3.671060562133789,-0.011798858642578125,-5.973461151123047,pair,20,20
XXX_28,39.088623682657875,170,29,-0.7193336486816406,-8.95599365234375,-8.77895736694336,pair,20,20
XXX_42,68.13411394755046,169,21,-8.352716445922852,-22.5317325592041,-20.885875701904297,pair,30,30
XXX_37,50.94982782999674,185,26,-16.05880832672119,-22.586824417114258,-27.17493438720703,odd,30,30
XXX_25,76.62593460083008,166,51,-4.112199783325195,-13.522850036621094,14.202064514160156,odd,30,30
XXX_41,32.40103530883789,171,24,1.1960830688476562,10.218807220458984,-14.958999633789062,odd,30,20
XXX_33,28.187760670979817,176,48,-5.441082954406738,2.078907012939453,2.923175811767578,pair,30,20
XXX_31,59.60722859700521,175,27,-1.8705253601074219,-18.719074249267578,-31.921791076660156,pair,30,20
XXX_30,46.61663818359375,167,60,-6.642200469970703,-3.47198486328125,-25.289810180664062,pair,30,20
XXX_27,35.72249221801758,178,26,-3.402507781982422,-9.437665939331055,-9.929298400878906,pair,30,20
XXX_26,45.80295753479004,179,34,1.4950580596923828,7.737125396728516,3.718158721923828,pair,30,20
