participant_id,avg_safety_distance,height,age,d_l,d_m,d_h,distance_category,velocity_exp1,velocity_exp2
XXX_43,56.93484369913737,157,25,-11.345617294311523,-21.114099502563477,-20.899250030517578,odd,60,70
XXX_40,81.3760248819987,161,26,-21.732799530029297,-27.12299919128418,-37.368568420410156,odd,60,70
XXX_39,60.39172808329264,190,26,-6.415000915527344,-23.964433670043945,-28.996566772460938,odd,60,70
XXX_36,60.347137451171875,187,27,1.7630996704101562,5.038349151611328,-0.8416824340820312,pair,60,70
XXX_34,41.931130727132164,173,29,16.69839859008789,21.945598602294922,88.43647766113281,pair,60,70
XXX_24,57.957784016927086,176,32,1.2693328857421875,4.503883361816406,14.059646606445312,odd,60,70
XXX_38,52.61556498209635,180,62,-8.357033729553223,-16.063034057617188,-18.6212158203125,pair,60,60
XXX_35,47.714097340901695,178,27,4.153232574462891,6.659450531005859,-25.23681640625,odd,60,60
XXX_32,69.19115956624348,173,31,-9.406332969665527,-0.6943817138671875,25.076919555664062,pair,60,60
XXX_28,61.555076599121094,170,29,4.366750717163086,43.57240295410156,51.36931610107422,pair,60,60
XXX_42,29.717906316121418,169,21,-9.630977630615234,-13.416975021362305,-5.584877014160156,pair,70,70
XXX_37,53.89516067504883,185,26,-15.068047523498535,-18.102535247802734,-36.65730667114258,odd,70,70
XXX_25,45.96567344665527,166,51,-3.1291980743408203,-3.3209877014160156,-2.6422882080078125,odd,70,70
XXX_41,39.47015635172526,171,24,14.023563385009766,19.351524353027344,9.806007385253906,odd,70,60
XXX_33,52.94343821207682,176,48,4.695417404174805,10.91585922241211,17.065994262695312,pair,70,60
XXX_31,58.93215560913086,175,27,-9.343764305114746,-28.660194396972656,-20.89809799194336,pair,70,60
XXX_30,73.60216522216797,167,60,-11.481778144836426,-20.067771911621094,-23.553546905517578,pair,70,60
XXX_27,55.71987724304199,178,26,-9.990564346313477,-9.531410217285156,-6.393669128417969,pair,70,60
XXX_26,39.21039835611979,179,34,-1.2842559814453125,1.4737358093261719,20.13831329345703,pair,70,60
