participant_id,avg_safety_distance,height,age,d_l,d_m,d_h,distance_category,velocity_exp1,velocity_exp2
XXX_43,46.87852350870768,157,25,-18.622705459594727,-23.291017532348633,-28.491348266601562,odd,20,30
XXX_40,65.10405349731445,161,26,-20.500900268554688,-29.61442756652832,-48.72772216796875,odd,20,30
XXX_39,42.26539611816406,190,26,-0.9487895965576172,-20.960826873779297,-42.96294975280762,odd,20,30
XXX_36,36.960445404052734,187,27,-3.0096778869628906,-5.546672821044922,-17.679916381835938,pair,20,30
XXX_34,24.741881052652996,173,29,0.7421226501464844,-7.034912109375,-17.689754486083984,pair,20,30
XXX_24,41.11276372273763,176,32,-7.635700225830078,-7.8033447265625,-22.8076171875,odd,20,30
XXX_38,43.17142995198568,180,62,-10.777922630310059,-22.615833282470703,-37.88595008850098,pair,20,20
XXX_35,25.209211985270183,178,27,-26.619327783584595,-24.95252799987793,-26.872215270996094,odd,20,20
XXX_32,64.99549738566081,173,31,0.35454368591308594,-10.056493759155273,-10.899250030517578,pair,20,20
XXX_28,23.737916310628254,170,29,4.68583869934082,6.551856994628906,-8.259143829345703,pair,20,20
XXX_42,27.454549153645832,169,21,-9.253232955932617,-15.528457641601562,-25.59372329711914,pair,30,30
XXX_37,36.08057403564453,185,26,-7.024591445922852,-23.280332565307617,-34.15227508544922,odd,30,30
XXX_25,88.5627670288086,166,51,17.476699829101562,-18.623090744018555,-8.1103515625,odd,30,30
XXX_41,42.494778315226235,171,24,9.146675109863281,-2.964275360107422,-31.248268127441406,odd,30,20
XXX_33,25.495668411254883,176,48,2.8396759033203125,-1.4898681640625,-8.287456512451172,pair,30,20
XXX_31,39.15484619140625,175,27,-3.3140087127685547,-12.054033279418945,-26.542049407958984,pair,30,20
XXX_30,40.4059944152832,167,60,-4.083049774169922,-7.869056701660156,-10.304668426513672,pair,30,20
XXX_27,27.71339162190755,178,26,-2.5017337799072266,-8.269342422485352,-2.173259735107422,pair,30,20
XXX_26,20.711754480997723,179,34,2.5082340240478516,NULL,11.613319396972656,pair,30,20
