participant_id,avg_safety_distance,height,age,d_l,d_m,d_h,distance_category,velocity_exp1,velocity_exp2
XXX_43,47.01308059692383,157,25,-3.960367202758789,-15.009223937988281,-31.426456451416016,odd,40,50
XXX_40,72.73536173502605,161,26,-21.752121925354004,-26.342777252197266,-38.10133361816406,odd,40,50
XXX_39,77.32489649454753,190,26,-8.855388641357422,-23.100444793701172,-27.945423126220703,odd,40,50
XXX_36,43.438777923583984,187,27,-3.1187000274658203,1.9830322265625,5.50225830078125,pair,40,50
XXX_34,30.165411631266277,173,29,7.229644775390625,8.291023254394531,18.666175842285156,pair,40,50
XXX_24,49.79783248901367,176,32,2.450023651123047,-7.455112457275391,7.4936370849609375,odd,40,50
XXX_38,52.11419423421224,180,62,-8.566078186035156,-16.774089813232422,-26.607666015625,pair,40,40
XXX_35,43.17503547668457,178,27,-7.981910705566406,-28.281999588012695,-20.736488342285156,odd,40,40
XXX_32,65.5991096496582,173,31,-6.756722450256348,-6.238067626953125,20.106613159179688,pair,40,40
XXX_28,47.20487848917643,170,29,10.386011123657227,15.850555419921875,13.350700378417969,pair,40,40
XXX_42,30.86443519592285,169,21,-3.243305206298828,-13.514986038208008,-17.127887725830078,pair,50,50
XXX_37,48.392462412516274,185,26,-13.534069061279297,-10.60562515258789,-41.9799861907959,odd,50,50
XXX_25,47.90991973876953,166,51,3.030193328857422,-10.96377944946289,NULL,odd,50,50
XXX_41,48.649773915608726,171,24,3.8702774047851562,9.606765747070312,-4.985679626464844,odd,50,40
XXX_33,33.9761594136556,176,48,-7.314861297607422,1.4449996948242188,0.12937545776367188,pair,50,40
XXX_31,49.86769358317057,175,27,-10.447999954223633,-18.61141586303711,-20.21186065673828,pair,50,40
XXX_30,62.882006327311196,167,60,-9.828749656677246,0.4887657165527344,-14.922569274902344,pair,50,40
XXX_27,43.97221755981445,178,26,-8.558444023132324,-1.5313186645507812,-11.824623107910156,pair,50,40
XXX_26,29.765557607014973,179,34,-2.7397632598876953,-3.3076934814453125,13.978843688964844,pair,50,40
