Participant;Age;Sex;Height;Driver_license;Scale
XXX_24;32;Man;176;True;6
XXX_25;51;Woman;166;True;5
XXX_26;34;Man;179;;
XXX_27;26;Man;178;True;5
XXX_28;29;Man;170;True;7
XXX_29;28;Man;180;;
XXX_30;60;Woman;167;True;6
XXX_31;27;Man;175;;
XXX_32;31;Man;173;;
XXX_33;48;Woman;176;True;5
XXX_34;29;Man;173;True;7
XXX_35;27;Woman;178;True;6
XXX_36;27;Man;187;True;4
XXX_37;26;Man;185;False;5
XXX_38;62;Man;180;True;7
XXX_39;26;Man;190;True;5
XXX_40;26;Woman;161;True;5
XXX_41;24;Man;171;False;6
XXX_42;21;Woman;169;True;6
XXX_43;25;Woman;157;True;7
